antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",frozenset({'Ultra Ball SVI 196'}),0.9036697247706422,0.8440366972477065,0.7844036697247706,0.8680203045685279,1.0284153608474949,1.0,0.021673259826613833,1.1817219477769927,0.2868281815650226,0.8142857142857142,0.15377724693938424,0.8986840653277421
"frozenset({""Boss's Orders PAL 172"", 'Ultra Ball SVI 196'})",frozenset({'Nest Ball SVI 181'}),0.7981651376146789,0.9495412844036697,0.7844036697247706,0.9827586206896551,1.0349825087456272,1.0,0.026512919787896605,2.926605504587152,0.16746411483253565,0.8142857142857142,0.6583072100313475,0.9044227886056971
frozenset({'Nest Ball SVI 181'}),"frozenset({""Boss's Orders PAL 172"", 'Ultra Ball SVI 196'})",0.9495412844036697,0.7981651376146789,0.7844036697247706,0.8260869565217391,1.0349825087456272,1.0,0.026512919787896605,1.1605504587155964,0.6698564593301422,0.8142857142857142,0.13833992094861666,0.9044227886056971
frozenset({'Ultra Ball SVI 196'}),"frozenset({""Boss's Orders PAL 172"", 'Nest Ball SVI 181'})",0.8440366972477065,0.9036697247706422,0.7844036697247706,0.9293478260869564,1.0284153608474949,1.0,0.021673259826613833,1.3634438955539852,0.17715858273133747,0.8142857142857142,0.2665631469979285,0.8986840653277421
"frozenset({'Pal Pad SVI 182', ""Boss's Orders PAL 172""})",frozenset({'Night Stretcher SFA 61'}),0.481651376146789,0.7568807339449541,0.42660550458715596,0.8857142857142857,1.17021645021645,1.0,0.06205285750357714,2.1272935779816504,0.2806166143305738,0.5254237288135594,0.5299191374663071,0.7246753246753246
"frozenset({'Pal Pad SVI 182', 'Night Stretcher SFA 61'})","frozenset({""Boss's Orders PAL 172""})",0.43119266055045874,0.9541284403669725,0.42660550458715596,0.9893617021276595,1.0369271685761046,1.0,0.015192323878461367,4.311926605504554,0.06260839403399221,0.44497607655502386,0.7680851063829769,0.718238543371522
"frozenset({""Boss's Orders PAL 172"", 'Night Stretcher SFA 61'})",frozenset({'Pal Pad SVI 182'}),0.7155963302752294,0.48623853211009177,0.42660550458715596,0.5961538461538461,1.2260522496371553,1.0,0.07865499537075998,1.27217125382263,0.6482830385015605,0.5502958579881656,0.2139423076923076,0.736756168359942
frozenset({'Pal Pad SVI 182'}),"frozenset({""Boss's Orders PAL 172"", 'Night Stretcher SFA 61'})",0.48623853211009177,0.7155963302752294,0.42660550458715596,0.8773584905660377,1.226052249637155,1.0,0.07865499537075998,2.318983768525051,0.3588709677419352,0.5502958579881656,0.5687766281192936,0.736756168359942
"frozenset({""Boss's Orders PAL 172""})","frozenset({'Pal Pad SVI 182', 'Night Stretcher SFA 61'})",0.9541284403669725,0.43119266055045874,0.42660550458715596,0.4471153846153846,1.0369271685761046,1.0,0.015192323878461367,1.0287993617869962,0.7763440860215041,0.44497607655502386,0.027993176178659953,0.718238543371522
frozenset({'Night Stretcher SFA 61'}),"frozenset({'Pal Pad SVI 182', ""Boss's Orders PAL 172""})",0.7568807339449541,0.481651376146789,0.42660550458715596,0.5636363636363636,1.17021645021645,1.0,0.06205285750357714,1.1878822629969419,0.5982958003651857,0.5254237288135594,0.15816572807723245,0.7246753246753246
"frozenset({""Boss's Orders PAL 172"", 'Ultra Ball SVI 196'})",frozenset({'Night Stretcher SFA 61'}),0.7981651376146789,0.7568807339449541,0.6100917431192661,0.764367816091954,1.0098920236851272,1.0,0.0059759279521925945,1.0317744461848288,0.04853041695146972,0.645631067961165,0.030795922793320305,0.7852142110762801
"frozenset({""Boss's Orders PAL 172"", 'Night Stretcher SFA 61'})",frozenset({'Ultra Ball SVI 196'}),0.7155963302752294,0.8440366972477065,0.6100917431192661,0.8525641025641025,1.0101031215161649,1.0,0.0061021799511824515,1.0578380534503384,0.03516856657773404,0.6425120772946861,0.05467571644042184,0.7876950947603121
